X,Y,Z
0.2,0.2,0
-0.2,0.2,0
-0.2,-0.2,0
0.2,-0.2,0
0.2,0.2,0.5
-0.2,0.2,0.5
-0.2,-0.2,0.5
0.2,-0.2,0.5
0.2,0.2,1
-0.2,0.2,1
-0.2,-0.2,1
0.2,-0.2,1
0.2,0.2,1.5
-0.2,0.2,1.5
-0.2,-0.2,1.5
0.2,-0.2,1.5
0.2,0.2,2
-0.2,0.2,2
-0.2,-0.2,2
0.2,-0.2,2
0.2,0.2,2.5
-0.2,0.2,2.5
-0.2,-0.2,2.5
0.2,-0.2,2.5
0.2,0.2,3
-0.2,0.2,3
-0.2,-0.2,3
0.2,-0.2,3
0.2,0.2,3.5
-0.2,0.2,3.5
-0.2,-0.2,3.5
0.2,-0.2,3.5
0.2,0.2,4
-0.2,0.2,4
-0.2,-0.2,4
0.2,-0.2,4
0.2,0.2,4.5
-0.2,0.2,4.5
-0.2,-0.2,4.5
0.2,-0.2,4.5
0.2,0.2,5
-0.2,0.2,5
-0.2,-0.2,5
0.2,-0.2,5
0.2,0.2,5.45
-0.2,0.2,5.45
-0.2,-0.2,5.45
0.2,-0.2,5.45
0.481,-0.2,5.45
0.481,0.2,5.45
0.731,-0.2,5
0.731,0.2,5
0.981,-0.2,5.45
0.981,0.2,5.45
1.231,-0.2,5
1.231,0.2,5
1.231,-0.2,5.45
1.231,0.2,5.45
1.565,-0.2,5.45
1.565,0.2,5.45
1.815,-0.2,5
1.815,0.2,5
2.065,-0.2,5.45
2.065,0.2,5.45
2.315,-0.2,5
2.315,0.2,5
2.565,-0.2,5.45
2.565,0.2,5.45
2.815,-0.2,5
2.815,0.2,5
3.065,-0.2,5.45
3.065,0.2,5.45
3.315,-0.2,5
3.315,0.2,5
3.565,-0.2,5.45
3.565,0.2,5.45
3.815,-0.2,5
3.815,0.2,5
4.065,-0.2,5.45
4.065,0.2,5.45
4.38,-0.2,5
4.38,0.2,5
4.38,-0.2,5.45
4.38,0.2,5.45
